Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 1
Goal Reached!  Total distance traveled is: 22.9478 || Avg execution time per cycle is: 0.000343137
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 2
Goal Reached!  Total distance traveled is: 22.1787 || Avg execution time per cycle is: 0.000359504
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 3
Goal Reached!  Total distance traveled is: 23.1185 || Avg execution time per cycle is: 0.000420195
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 4
Goal Reached!  Total distance traveled is: 22.0657 || Avg execution time per cycle is: 0.000457983
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 5
Goal Reached!  Total distance traveled is: 22.22 || Avg execution time per cycle is: 0.000412245
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 6
Collision occured!  ||  Avg execution time per cycle is: 0.000444444
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 7
Goal Reached!  Total distance traveled is: 22.1116 || Avg execution time per cycle is: 0.00042449
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 8
Goal Reached!  Total distance traveled is: 21.9999 || Avg execution time per cycle is: 0.00046696
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 9
Goal Reached!  Total distance traveled is: 40.6045 || Avg execution time per cycle is: 0.000414062
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 10
Goal Reached!  Total distance traveled is: 21.9145 || Avg execution time per cycle is: 0.000456522
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 11
Goal Reached!  Total distance traveled is: 21.829 || Avg execution time per cycle is: 0.000399103
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 12
Collision occured!  ||  Avg execution time per cycle is: 0.000417671
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 13
Goal Reached!  Total distance traveled is: 22.0235 || Avg execution time per cycle is: 0.00040708
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 14
Goal Reached!  Total distance traveled is: 22.0937 || Avg execution time per cycle is: 0.000382979
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 15
Goal Reached!  Total distance traveled is: 21.8519 || Avg execution time per cycle is: 0.000386364
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 16
Goal Reached!  Total distance traveled is: 23.2201 || Avg execution time per cycle is: 0.00041411
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 17
Goal Reached!  Total distance traveled is: 22.5946 || Avg execution time per cycle is: 0.000378378
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 18
Goal Reached!  Total distance traveled is: 22.0437 || Avg execution time per cycle is: 0.000419492
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 19
Goal Reached!  Total distance traveled is: 21.8562 || Avg execution time per cycle is: 0.000391892
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 20
Goal Reached!  Total distance traveled is: 22.2484 || Avg execution time per cycle is: 0.000277567
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 21
Goal Reached!  Total distance traveled is: 21.7816 || Avg execution time per cycle is: 0.000363636
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 22
Goal Reached!  Total distance traveled is: 22.1146 || Avg execution time per cycle is: 0.000386364
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 23
Goal Reached!  Total distance traveled is: 22.0259 || Avg execution time per cycle is: 0.000400763
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 24
Goal Reached!  Total distance traveled is: 22.0996 || Avg execution time per cycle is: 0.000389381
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 25
Goal Reached!  Total distance traveled is: 21.8125 || Avg execution time per cycle is: 0.000357798
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 26
Goal Reached!  Total distance traveled is: 22.047 || Avg execution time per cycle is: 0.00039823
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 27
Goal Reached!  Total distance traveled is: 22.0454 || Avg execution time per cycle is: 0.000404444
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 28
Goal Reached!  Total distance traveled is: 21.8916 || Avg execution time per cycle is: 0.000362445
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 29
Goal Reached!  Total distance traveled is: 22.0307 || Avg execution time per cycle is: 0.000410788
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 30
Goal Reached!  Total distance traveled is: 32.7031 || Avg execution time per cycle is: 0.00034275
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 31
Goal Reached!  Total distance traveled is: 21.898 || Avg execution time per cycle is: 0.000368664
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 32
Collision occured!  ||  Avg execution time per cycle is: 0.000419753
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 33
Goal Reached!  Total distance traveled is: 21.9412 || Avg execution time per cycle is: 0.000368182
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 34
Goal Reached!  Total distance traveled is: 22.0991 || Avg execution time per cycle is: 0.000285714
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 35
Goal Reached!  Total distance traveled is: 21.9047 || Avg execution time per cycle is: 0.000401869
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 36
Goal Reached!  Total distance traveled is: 22.2413 || Avg execution time per cycle is: 0.000392713
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 37
Goal Reached!  Total distance traveled is: 22.0704 || Avg execution time per cycle is: 0.000375527
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 38
Goal Reached!  Total distance traveled is: 21.9724 || Avg execution time per cycle is: 0.000412879
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 39
Collision occured!  ||  Avg execution time per cycle is: 0.000381743
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 40
Goal Reached!  Total distance traveled is: 22.006 || Avg execution time per cycle is: 0.000376106
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 41
Goal Reached!  Total distance traveled is: 22.6376 || Avg execution time per cycle is: 0.000390411
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 42
Goal Reached!  Total distance traveled is: 21.968 || Avg execution time per cycle is: 0.000267606
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 43
Goal Reached!  Total distance traveled is: 21.8561 || Avg execution time per cycle is: 0.000416667
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 44
Collision occured!  ||  Avg execution time per cycle is: 0.000431138
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 45
Goal Reached!  Total distance traveled is: 22.0941 || Avg execution time per cycle is: 0.000371795
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 46
Goal Reached!  Total distance traveled is: 21.9366 || Avg execution time per cycle is: 0.00043379
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 47
Goal Reached!  Total distance traveled is: 22.0495 || Avg execution time per cycle is: 0.000422925
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 48
Goal Reached!  Total distance traveled is: 22.0892 || Avg execution time per cycle is: 0.000365217
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 49
Goal Reached!  Total distance traveled is: 22.2169 || Avg execution time per cycle is: 0.000390681
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 50
Collision occured!  ||  Avg execution time per cycle is: 0.000413919
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 51
Goal Reached!  Total distance traveled is: 22.0739 || Avg execution time per cycle is: 0.000454545
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 52
Goal Reached!  Total distance traveled is: 21.9717 || Avg execution time per cycle is: 0.000412245
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 53
Goal Reached!  Total distance traveled is: 22.1326 || Avg execution time per cycle is: 0.000282258
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 54
Goal Reached!  Total distance traveled is: 22.2578 || Avg execution time per cycle is: 0.000370229
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 55
Goal Reached!  Total distance traveled is: 22.2 || Avg execution time per cycle is: 0.000407273
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 56
Goal Reached!  Total distance traveled is: 22.1777 || Avg execution time per cycle is: 0.000345098
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 57
Goal Reached!  Total distance traveled is: 21.7224 || Avg execution time per cycle is: 0.00042029
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 58
Goal Reached!  Total distance traveled is: 22.2114 || Avg execution time per cycle is: 0.000362934
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 59
Goal Reached!  Total distance traveled is: 22.0117 || Avg execution time per cycle is: 0.000374429
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 60
Collision occured!  ||  Avg execution time per cycle is: 0.000494118
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 61
Collision occured!  ||  Avg execution time per cycle is: 0.000434783
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 62
